,site,site_abbreviation,country,province,city,latitude,longitude,survey_date,plant_or_pans,n,Start.Number,End.Number,index,uniqueID,name,order,subclade,family,genus,species,sex
74,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_74,JCUJ,Hymenoptera,not_Anthophila,Tiphiidae,,,
75,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Rosa nutkana,2,75,76,2,JCUJ2020_75,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,cressonii,female
76,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Rosa nutkana,2,75,76,2,JCUJ2020_76,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,sola,female
77,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Ranunculus repens,1,77,77,3,JCUJ2020_77,JCUJ,Hymenoptera,Anthophila,Halictidae,Lasioglossum,inconditum,female
78,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_78,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,crataegi,female
79,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_79,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,angustitarsata,female
80,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_80,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,angustitarsata,female
81,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_81,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,carlini,female
82,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_82,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,crataegi,female
83,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,Physocarpus capitatus,17,78,94,4,JCUJ2020_83,JCUJ,Hymenoptera,Anthophila,Andrenidae,Andrena,crataegi,female
